# Team Deathmatch Extra Spawns
# For map: de_dust2_go
# Exported by: Stupid
setting:	replacespawns 0
info_mobile_spawn	554.387756 2754.969971 96.560753	-0.113 -73.641 0.012
info_mobile_spawn	457.683411 1721.397827 0.556028	0.000 -75.537 0.140
info_mobile_spawn	375.351440 1406.929077 0.545116	0.106 121.325 -0.224
info_mobile_spawn	-733.151489 1358.513062 -111.464615	-0.062 -0.000 0.062
info_mobile_spawn	-933.443848 1341.994629 -111.421898	0.036 106.476 -0.105
info_mobile_spawn	-1408.160767 1246.401123 32.599800	0.185 -87.597 0.185
info_mobile_spawn	-1694.387207 1362.451172 32.568993	-0.000 -94.631 0.098
info_mobile_spawn	-2138.850098 1221.813232 32.524876	-0.072 -0.000 0.072
info_mobile_spawn	-2137.786133 1080.341064 32.528194	-0.069 -0.000 0.069
info_mobile_spawn	-1409.768311 576.660767 32.530258	0.248 179.410 0.112
info_mobile_spawn	-1880.868530 660.146179 32.537933	-0.061 -0.000 0.061
info_mobile_spawn	-2002.028076 350.959045 3.571992	4.939 2.380 -0.029
info_mobile_spawn	-1397.229126 126.006905 9.342850	-1.001 -172.579 1.105
info_mobile_spawn	-2129.236572 -779.764587 130.895126	-1.419 -0.018 -0.731
info_mobile_spawn	-1025.297241 -228.460068 152.065720	4.685 -80.624 3.859
info_mobile_spawn	-1306.197632 -293.385376 130.922165	-1.942 -101.241 -0.758
info_mobile_spawn	-448.444000 -564.531311 2.599800	0.005 93.060 0.005
info_mobile_spawn	699.402832 -322.772736 10.157786	4.176 -161.857 2.145
info_mobile_spawn	702.252258 175.440506 8.571267	6.711 -170.063 -1.806
info_mobile_spawn	300.565796 404.454468 9.671644	5.589 -150.108 3.230
info_mobile_spawn	197.718506 41.090221 6.479502	-0.327 4.367 -2.128
info_mobile_spawn	729.866638 534.360107 1.624324	-0.542 -149.945 0.300
info_mobile_spawn	567.989197 385.166595 4.014185	2.721 -1.904 -4.377
info_mobile_spawn	588.615051 843.334473 5.795251	-3.472 1.176 0.928
info_mobile_spawn	654.219421 1154.652466 4.911563	-0.616 -84.458 0.399
info_mobile_spawn	998.438171 1150.032349 2.057421	-1.339 -90.329 -0.121
info_mobile_spawn	1705.962646 597.623291 64.572342	-0.001 -175.508 0.089
info_mobile_spawn	1727.387207 861.717834 64.573296	0.042 -166.760 -0.042
info_mobile_spawn	1221.414185 2582.199219 96.563385	-0.001 81.788 0.117
info_mobile_spawn	972.754883 2500.694092 96.559372	0.102 172.610 0.008
info_mobile_spawn	428.037903 2740.135254 96.559280	-0.129 -80.112 -0.000
info_mobile_spawn	1175.527588 3040.244141 133.782562	5.202 -75.553 5.121
info_mobile_spawn	1069.822632 2937.328369 134.953140	6.191 -0.830 -0.848
info_mobile_spawn	-344.695160 1721.981079 -126.163246	-0.200 145.644 0.262
info_mobile_spawn	-556.178284 1789.809326 -119.881485	8.449 0.929 -2.732
info_mobile_spawn	-566.838440 1930.184326 -124.473648	2.877 -1.376 1.932
info_mobile_spawn	-1211.004272 2100.000977 3.383035	0.972 82.555 2.796
info_mobile_spawn	-1401.298218 2545.345703 5.195128	-1.002 -85.328 0.843
info_mobile_spawn	-1427.365112 2777.983398 5.567562	2.420 -122.010 -0.699
info_mobile_spawn	-1913.904419 2872.187744 32.567928	0.170 -50.894 0.069
info_mobile_spawn	-2072.888428 2717.973389 32.576920	-0.000 -71.940 0.065
info_mobile_spawn	-1702.761353 1834.978760 3.153368	0.146 76.240 3.316
info_mobile_spawn	-2127.426758 1868.408203 3.438075	7.062 2.598 0.247
info_mobile_spawn	-1153.286621 1378.480469 -111.462708	0.060 0.000 0.060
info_mobile_spawn	-698.041870 419.206818 7.174398	2.743 0.383 0.697
info_mobile_spawn	-698.036072 315.923615 6.459091	3.590 2.004 -1.236
info_mobile_spawn	457.491974 1538.985352 0.581267	0.092 -179.160 0.033
